City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,hammerfest,70.6634,23.6821,0.25,80,40,11.32,NO,1732659414
150,west island,-12.1568,96.8225,26.99,94,20,4.63,CC,1732659415
151,atafu village,-8.5421,-172.5159,28.74,72,33,7.95,TK,1732659416
152,kampong chhnang,12.1667,104.55,22.67,81,100,2.56,KH,1732659418
153,la passe,45.5549,-0.8967,10.36,85,15,4.52,FR,1732659419
154,vadso,70.0744,29.7487,-1.91,74,0,9.26,NO,1732659420
155,marsh harbour,26.5412,-77.0636,23.59,73,0,5.16,BS,1732659421
156,grytviken,-54.2811,-36.5092,0.53,89,100,5.44,GS,1732659216
157,vilyuchinsk,52.9306,158.4028,4.15,73,74,4.88,RU,1732659247
158,papatowai,-46.5619,169.4708,12.19,89,100,3.25,NZ,1732659305
159,new norfolk,-42.7826,147.0587,18.84,78,100,1.03,AU,1732659426
160,viransehir,37.2353,39.7631,3.37,82,87,2.2,TR,1732659427
161,anadyr,64.75,177.4833,-6.72,86,100,3.0,RU,1732659248
162,queenstown,-31.8976,26.8753,15.11,85,100,2.74,ZA,1732659429
163,metlili chaamba,32.2667,3.6333,15.52,44,0,1.03,DZ,1732659431
164,ola,59.5833,151.2833,-14.66,74,1,3.6,RU,1732659432
165,cill airne,52.05,-9.5167,2.92,92,4,1.38,IE,1732659433
166,fale old settlement,-9.3852,-171.2468,28.19,77,68,6.42,TK,1732659205
167,ilebo,-4.3167,20.5833,21.12,100,100,0.12,CD,1732659307
168,huaihua,27.5494,109.9592,9.1,80,98,0.5,CN,1732659436
169,mocimboa,-11.3167,40.35,25.54,88,64,2.24,MZ,1732659438
170,ashland,40.8167,-82.2665,4.45,90,6,4.93,US,1732659439
171,boiling springs,35.0465,-81.9818,16.84,43,0,1.54,US,1732659440
172,bhamo,24.2667,97.2333,15.48,87,5,0.55,MM,1732659441
173,hendrina,-26.1588,29.7153,18.83,56,9,3.49,ZA,1732659442
174,lepsy,46.235,78.9456,0.58,61,0,1.61,KZ,1732659443
175,goundam,16.4145,-3.6708,26.16,14,83,4.31,ML,1732659445
176,semporna,4.4818,118.6112,25.0,93,100,3.09,MY,1732659446
177,afaahiti,-17.75,-149.2833,25.48,83,89,6.21,PF,1732659447
178,coahuayana de hidalgo,18.7,-103.6583,29.27,63,43,2.53,MX,1732659372
179,sur,22.5667,59.5289,24.35,70,0,2.11,OM,1732659449
180,ceeldheer,3.8488,47.1806,26.48,84,31,4.87,SO,1732659451
181,usinsk,65.9939,57.5281,1.66,98,100,11.27,RU,1732659452
182,narrabri,-30.3167,149.7833,28.07,59,66,2.24,AU,1732659453
183,igarka,67.4667,86.5833,-4.01,92,100,6.91,RU,1732659454
184,puerto ayora,-0.7393,-90.3518,23.08,89,61,3.13,EC,1732659455
185,bandar lampung,-5.4254,105.258,23.24,97,100,1.61,ID,1732659456
186,nogliki,51.8333,143.1667,-1.72,81,100,8.16,RU,1732659458
187,mwatate,-3.5029,38.3795,20.93,91,30,1.34,KE,1732659459
188,kurumkan,54.3,110.3,-19.43,91,14,1.61,RU,1732659460
189,tonj,7.2737,28.6822,24.83,31,4,2.16,SS,1732659462
190,kodiak,57.79,-152.4072,0.73,75,0,2.06,US,1732659463
191,poronaysk,49.2167,143.1167,-0.82,84,100,5.78,RU,1732659464
192,coquimbo,-29.9533,-71.3436,17.85,69,0,7.72,CL,1732659423
193,jamestown,42.097,-79.2353,4.45,71,75,4.63,US,1732659415
194,punta arenas,-53.15,-70.9167,10.06,71,0,6.17,CL,1732659176
195,chemodanovka,53.2316,45.2474,-6.35,93,17,1.53,RU,1732659469
196,whitehorse,60.7161,-135.0538,-8.83,92,75,0.0,CA,1732659470
197,haiku-pauwela,20.9219,-156.3051,27.34,67,20,5.66,US,1732659471
198,abu road,24.4833,72.7833,18.95,39,0,1.43,IN,1732659472
199,chonchi,-42.6128,-73.8092,10.62,72,66,1.42,CL,1732659473
200,kasganj,27.8167,78.65,15.87,38,0,1.5,IN,1732659475
201,anthony,32.004,-106.6058,24.24,20,0,6.69,US,1732659476
202,magadan,59.5667,150.8,-12.78,62,0,2.83,RU,1732659477
203,geraldton,-28.7667,114.6,14.23,67,0,6.96,AU,1732659478
204,at taraf,25.3628,49.725,24.3,63,1,4.05,SA,1732659479
205,mtskheta,41.8451,44.7188,5.05,98,100,3.34,GE,1732659480
206,howard springs,-12.497,131.047,26.57,100,58,2.07,AU,1732659482
